대학,비전
한양대,창의와 나눔으로 세상에 힘이 되는 한양
인천대,지역의 인재를 창의적인 세계의 인재로 양성하는 대학
충북대,미래 100년을 향한 글로벌 국가중추대학
목포대,지역사회와 더불어 세계로- 미래로 도약하는 국내 최고 지역 거점 국립대학
경상대,예지학을 겸비한 창의적 개척인재 양성
창원대,경남의 중심에서 아시아로 세계로
아주대,융합학문을 선도하는 세계수준의 대학
군산대,새만금과 함께 세계로 나아가는 지역 제일의 특성화대학
제주대,기본에 충실한 대학- 미래를 준비하는 대학
순천대,세계로 도약하는 남해안권 선도대학
경북대,미래를 주도하는 첨성인- 세상을 선도하는 경북대 (Global 100 - Asis 20위- 국내 5위)
전북대,세계를 이끌어 갈 창조적인 인재의 요람이 되자 ( 국내 Top5 - Global Top 100)
인하대,혁신적 창조와 글로벌 인재 양성을 통해 사회적 책무를 다한다.
포항공대,수월성과 올바른 가치관을 가진 창의적 인재를 양성하고 국민의 삶에 기여할 수 있는 ‘가치를 창출하는 대학’
숭실대,기독교 정신에 바탕을 둔 ‘진리와 봉사’의 건학이념으로 국가사회 발전과 인류평화에 기여할 인재를 양성한다.
국민대,2030년 국민대학교는 공동체정신의 실용주의에 기반하여 대한민국 고등교육체계의 새로운 표준을 제시하는 대표대학이 된다
부산대,학생의 미래가 있는 대학- 국민으로부터 사랑받는 대학
전남대,진리로 행복한 세상을 밝힌다
이화여대,미래를 개척하는 여성 지성
서울시립대,배움과 나눔의 100년- 서울의 자부심
연세대,존중하고 존경받는 대학
고려대,미래를 열고- 미래를 이끌고- 미래를 만들어가는 고려대학교
서울대,행복한 배움의 터전- 학문적 가치 창조- 더불어 사는 지혜
단국대,도전과 창조의 글로벌 대학
동국대,시대정신과 지식사회를 선도하는 세계 중심 대학
성균관대학교,한국을 대표하는 글로벌 대학의 자부심
한국외대,대한민국 제1의 글로벌 융복합 대학
서강대,미래대학의 모델이 되는 대학
중앙대,세계적 수준의 지식창조 및 학습역량 보유대학
광운대,미래가치를 창조하는 광운 브랜드 창출
건국대,나라를 세우고 세계를 품는 대학
경희대,학문과 평화의 지구적 존엄
